"Admin Username","Admin Username"
"Clear Logs","Clear Logs"
"Customer Email","Customer Email"
"Log has been cleared successfully.","Log has been cleared successfully."
"Log in customer","Log in customer"
"Login as Customer Logs","Login as Customer Logs"
"Login Date","Login Date"
"Login Store","Login Store"
"Save Login Logs","Save Login Logs"
"View Customer","View Customer"
